	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	17,0000	13,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
	Pooled Multiway	0,6396	0,9594	1,2793	2,5585	5,4368	9,2746	17,5898	41,5758	89,5480	179,7356	497,9506	0,3198	0,6396	1,2793	2,2387	4,7972	8,6350	16,9501	39,3371	70,9987	132,4031	325,5708	0,6396	1,2793	1,9189	3,5180	6,0765	10,2341	18,8690	47,9721	117,6916	233,7841	611,1648	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find count	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,0000	0,3198	0,3198	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	
	Naive Pointer	0,9594	1,5991	2,5585	4,1576	9,2746	16,6303	29,7427	62,3638	115,7727	221,6312	547,8416	0,6396	1,2793	1,9189	3,8378	8,6350	15,6709	28,4635	60,1251	113,2142	215,8746	532,8104	1,5991	2,2387	3,5180	5,4368	10,2341	17,9096	32,3012	73,2374	131,1238	251,3739	594,2147	
	Pooled Pointer	0,9594	1,5991	2,8783	4,7972	9,5944	19,8285	42,2155	100,1018	185,1724	317,8953	803,0533	0,6396	1,2793	2,2387	4,1576	8,9548	18,8690	37,4183	77,0752	110,6557	203,0820	486,1175	1,5991	2,2387	3,8378	5,7567	10,5539	21,4275	45,4136	111,6151	205,0009	374,8222	947,9291	
	Naive Multiway	0,6396	1,5991	2,5585	5,1170	14,3916	21,4275	32,9409	70,0393	129,8445	236,0228	594,2147	0,3198	1,2793	2,2387	4,4774	13,4322	20,1483	31,6616	67,1610	121,5294	225,1492	554,2379	0,9594	1,9189	3,1981	5,7567	15,6709	23,3464	35,8192	80,9130	144,8758	268,6439	962,9604	
	Pooled Multiway	0,6396	0,9594	1,2793	2,8783	5,7567	9,5944	18,8690	47,6523	104,5792	202,7622	581,4221	0,3198	0,6396	1,2793	2,5585	5,1170	8,9548	17,9096	45,4136	89,5480	177,4969	413,1999	0,6396	1,2793	1,9189	3,5180	6,3963	10,8737	20,7879	57,5665	137,8399	268,6439	739,0905	
